,tweet_id,favorite_count,display_text_range,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,rating_numerator,rating_denominator,name,Dog_stage
0,892420643555336193,35383,"[0, 85]",0,0,2017-08-01 16:23:56 +0000, http://twitter.com/download/iphone       ,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,0,0,,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,    
1,892177421306343426,30620,"[0, 138]",0,0,2017-08-01 00:17:27 +0000, http://twitter.com/download/iphone       ,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",0,0,,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,    
2,891815181378084864,23034,"[0, 121]",0,0,2017-07-31 00:18:03 +0000, http://twitter.com/download/iphone       ,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,0,0,,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,    
3,891689557279858688,38667,"[0, 79]",0,0,2017-07-30 15:58:51 +0000, http://twitter.com/download/iphone       ,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,0,0,,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,    
4,891327558926688256,36953,"[0, 138]",0,0,2017-07-29 16:00:24 +0000, http://twitter.com/download/iphone       ,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",0,0,,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,    
5,891087950875897856,18632,"[0, 138]",0,0,2017-07-29 00:08:17 +0000, http://twitter.com/download/iphone       ,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,0,0,,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,None,    
6,890971913173991426,10819,"[0, 140]",0,0,2017-07-28 16:27:12 +0000, http://twitter.com/download/iphone       ,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",0,0,,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,    
7,890729181411237888,59619,"[0, 118]",0,0,2017-07-28 00:22:40 +0000, http://twitter.com/download/iphone       ,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,0,0,,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,None,    
8,890609185150312448,25634,"[0, 122]",0,0,2017-07-27 16:25:51 +0000, http://twitter.com/download/iphone       ,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,0,0,,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,    
9,890240255349198849,29254,"[0, 133]",0,0,2017-07-26 15:59:51 +0000, http://twitter.com/download/iphone       ,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,0,0,,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,doggo   
10,890006608113172480,28200,"[0, 130]",0,0,2017-07-26 00:31:25 +0000, http://twitter.com/download/iphone       ,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,0,0,,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13,10,Koda,    
11,889880896479866881,25660,"[0, 107]",0,0,2017-07-25 16:11:53 +0000, http://twitter.com/download/iphone       ,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,0,0,,https://twitter.com/dog_rates/status/889880896479866881/photo/1,13,10,Bruno,    
12,889665388333682689,44063,"[0, 106]",0,0,2017-07-25 01:55:32 +0000, http://twitter.com/download/iphone       ,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,0,0,,https://twitter.com/dog_rates/status/889665388333682689/photo/1,13,10,None,   puppo
13,889638837579907072,24788,"[0, 91]",0,0,2017-07-25 00:10:02 +0000, http://twitter.com/download/iphone       ,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,0,0,,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",12,10,Ted,    
